data,data_inicio_mes,mes_numero,mes_nome,mes_nome_mmm,ano_yyyy,ano_yy,dia_numero,dia_nome,semestre
2022-07-01,2022-07-01,7,Julho,Jul,2022,22,1,Sexta-Feira,2
2022-07-02,2022-07-01,7,Julho,Jul,2022,22,2,Sábado,2
2022-07-03,2022-07-01,7,Julho,Jul,2022,22,3,Domingo,2
2022-07-04,2022-07-01,7,Julho,Jul,2022,22,4,Segunda-Feira,2
2022-07-05,2022-07-01,7,Julho,Jul,2022,22,5,Terça-Feira,2
2022-07-06,2022-07-01,7,Julho,Jul,2022,22,6,Quarta-Feira,2
2022-07-07,2022-07-01,7,Julho,Jul,2022,22,7,Quinta-Feira,2
2022-07-08,2022-07-01,7,Julho,Jul,2022,22,8,Sexta-Feira,2
2022-07-09,2022-07-01,7,Julho,Jul,2022,22,9,Sábado,2
2022-07-10,2022-07-01,7,Julho,Jul,2022,22,10,Domingo,2
2022-07-11,2022-07-01,7,Julho,Jul,2022,22,11,Segunda-Feira,2
2022-07-12,2022-07-01,7,Julho,Jul,2022,22,12,Terça-Feira,2
2022-07-13,2022-07-01,7,Julho,Jul,2022,22,13,Quarta-Feira,2
2022-07-14,2022-07-01,7,Julho,Jul,2022,22,14,Quinta-Feira,2
2022-07-15,2022-07-01,7,Julho,Jul,2022,22,15,Sexta-Feira,2
2022-07-16,2022-07-01,7,Julho,Jul,2022,22,16,Sábado,2
2022-07-17,2022-07-01,7,Julho,Jul,2022,22,17,Domingo,2
2022-07-18,2022-07-01,7,Julho,Jul,2022,22,18,Segunda-Feira,2
2022-07-19,2022-07-01,7,Julho,Jul,2022,22,19,Terça-Feira,2
2022-07-20,2022-07-01,7,Julho,Jul,2022,22,20,Quarta-Feira,2
2022-07-21,2022-07-01,7,Julho,Jul,2022,22,21,Quinta-Feira,2
2022-07-22,2022-07-01,7,Julho,Jul,2022,22,22,Sexta-Feira,2
2022-07-23,2022-07-01,7,Julho,Jul,2022,22,23,Sábado,2
2022-07-24,2022-07-01,7,Julho,Jul,2022,22,24,Domingo,2
2022-07-25,2022-07-01,7,Julho,Jul,2022,22,25,Segunda-Feira,2
2022-07-26,2022-07-01,7,Julho,Jul,2022,22,26,Terça-Feira,2
2022-07-27,2022-07-01,7,Julho,Jul,2022,22,27,Quarta-Feira,2
2022-07-28,2022-07-01,7,Julho,Jul,2022,22,28,Quinta-Feira,2
2022-07-29,2022-07-01,7,Julho,Jul,2022,22,29,Sexta-Feira,2
2022-07-30,2022-07-01,7,Julho,Jul,2022,22,30,Sábado,2
2022-07-31,2022-07-01,7,Julho,Jul,2022,22,31,Domingo,2
2023-07-01,2023-07-01,7,Julho,Jul,2023,23,1,Sábado,2
2023-07-02,2023-07-01,7,Julho,Jul,2023,23,2,Domingo,2
2023-07-03,2023-07-01,7,Julho,Jul,2023,23,3,Segunda-Feira,2
2023-07-04,2023-07-01,7,Julho,Jul,2023,23,4,Terça-Feira,2
2023-07-05,2023-07-01,7,Julho,Jul,2023,23,5,Quarta-Feira,2
2023-07-06,2023-07-01,7,Julho,Jul,2023,23,6,Quinta-Feira,2
2023-07-07,2023-07-01,7,Julho,Jul,2023,23,7,Sexta-Feira,2
2023-07-08,2023-07-01,7,Julho,Jul,2023,23,8,Sábado,2
2023-07-09,2023-07-01,7,Julho,Jul,2023,23,9,Domingo,2
2023-07-10,2023-07-01,7,Julho,Jul,2023,23,10,Segunda-Feira,2
2023-07-11,2023-07-01,7,Julho,Jul,2023,23,11,Terça-Feira,2
2023-07-12,2023-07-01,7,Julho,Jul,2023,23,12,Quarta-Feira,2
2023-07-13,2023-07-01,7,Julho,Jul,2023,23,13,Quinta-Feira,2
2023-07-14,2023-07-01,7,Julho,Jul,2023,23,14,Sexta-Feira,2
2023-07-15,2023-07-01,7,Julho,Jul,2023,23,15,Sábado,2
2023-07-16,2023-07-01,7,Julho,Jul,2023,23,16,Domingo,2
2023-07-17,2023-07-01,7,Julho,Jul,2023,23,17,Segunda-Feira,2
2023-07-18,2023-07-01,7,Julho,Jul,2023,23,18,Terça-Feira,2
2023-07-19,2023-07-01,7,Julho,Jul,2023,23,19,Quarta-Feira,2
2023-07-20,2023-07-01,7,Julho,Jul,2023,23,20,Quinta-Feira,2
2023-07-21,2023-07-01,7,Julho,Jul,2023,23,21,Sexta-Feira,2
2023-07-22,2023-07-01,7,Julho,Jul,2023,23,22,Sábado,2
2023-07-23,2023-07-01,7,Julho,Jul,2023,23,23,Domingo,2
2023-07-24,2023-07-01,7,Julho,Jul,2023,23,24,Segunda-Feira,2
2023-07-25,2023-07-01,7,Julho,Jul,2023,23,25,Terça-Feira,2
2023-07-26,2023-07-01,7,Julho,Jul,2023,23,26,Quarta-Feira,2
2023-07-27,2023-07-01,7,Julho,Jul,2023,23,27,Quinta-Feira,2
2023-07-28,2023-07-01,7,Julho,Jul,2023,23,28,Sexta-Feira,2
2023-07-29,2023-07-01,7,Julho,Jul,2023,23,29,Sábado,2
2023-07-30,2023-07-01,7,Julho,Jul,2023,23,30,Domingo,2
2023-07-31,2023-07-01,7,Julho,Jul,2023,23,31,Segunda-Feira,2
2024-07-01,2024-07-01,7,Julho,Jul,2024,24,1,Segunda-Feira,2
2024-07-02,2024-07-01,7,Julho,Jul,2024,24,2,Terça-Feira,2
2024-07-03,2024-07-01,7,Julho,Jul,2024,24,3,Quarta-Feira,2
2024-07-04,2024-07-01,7,Julho,Jul,2024,24,4,Quinta-Feira,2
2024-07-05,2024-07-01,7,Julho,Jul,2024,24,5,Sexta-Feira,2
2024-07-06,2024-07-01,7,Julho,Jul,2024,24,6,Sábado,2
2024-07-07,2024-07-01,7,Julho,Jul,2024,24,7,Domingo,2
2024-07-08,2024-07-01,7,Julho,Jul,2024,24,8,Segunda-Feira,2
2024-07-09,2024-07-01,7,Julho,Jul,2024,24,9,Terça-Feira,2
2024-07-10,2024-07-01,7,Julho,Jul,2024,24,10,Quarta-Feira,2
