Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Base Produtos,,,,,
,Exportado em 01/01/2023 - 15:51:28,,,,,
,,,,,,
,,,,,,
,CÓD. PRODUTO,PRODUTO,MARCA,CLASSE,CÓD. CATEGORIA,CATEGORIA
,,,,,,
,1,Trator Farmall 75C,Case IH,Tratores,1,Tratores Compactos
,2,Trator Farmall 90,Case IH,Tratores,1,Tratores Compactos
,3,Trator Maxxum 150,Case IH,Tratores,2,Tratores de Média Potência
,4,Trator Puma 185,Case IH,Tratores,2,Tratores de Média Potência
,5,Trator Magnum 280,Case IH,Tratores,3,Tratores de Alta Potência
,6,Trator Steiger 540,Case IH,Tratores,3,Tratores de Alta Potência
,7,Colheitadeira Axial-Flow 6250,Case IH,Colheitadeiras,4,Colheitadeiras de Grãos
,8,Colheitadeira Axial-Flow 7250,Case IH,Colheitadeiras,4,Colheitadeiras de Grãos
,9,Colheitadeira Axial-Flow 8250,Case IH,Colheitadeiras,4,Colheitadeiras de Grãos
,10,Pulverizador Patriot 4440,Case IH,Pulverizadores,5,Pulverizadores Autopropelidos
,11,Plantadeira Early Riser 2150,Case IH,Plantadeiras,6,Plantadeiras de Precisão
,12,Trator TL5.90,New Holland,Tratores,1,Tratores Compactos
,13,Trator T6.180,New Holland,Tratores,2,Tratores de Média Potência
,14,Trator TM7.220,New Holland,Tratores,2,Tratores de Média Potência
,15,Trator T7.270,New Holland,Tratores,2,Tratores de Média Potência
,16,Trator T8.435,New Holland,Tratores,3,Tratores de Alta Potência
,17,Colheitadeira TC5090,New Holland,Colheitadeiras,4,Colheitadeiras de Grãos
,18,Colheitadeira CR8.90,New Holland,Colheitadeiras,4,Colheitadeiras de Grãos
,19,Colheitadeira CR10.90,New Holland,Colheitadeiras,4,Colheitadeiras de Grãos
,20,Pulverizador Guardian SP.400F,New Holland,Pulverizadores,5,Pulverizadores Autopropelidos
,21,Plantadeira P2080,New Holland,Plantadeiras,6,Plantadeiras de Precisão
,22,Trator Farmall 115C,Case IH,Tratores,2,Tratores de Média Potência
,23,Trator T5.120,New Holland,Tratores,1,Tratores Compactos
,24,Colheitadeira Axial-Flow 5150,Case IH,Colheitadeiras,4,Colheitadeiras de Grãos
,25,Plantadeira P1080,New Holland,Plantadeiras,6,Plantadeiras de Precisão
