data;data_inicio_mes;mes_numero;mes_nome;mes_nome_mmm;ano_yyyy;ano_yy;dia_numero;dia_nome;semestre
01/07/2022;01/07/2022;7;Julho;Jul;2022;22;1;Sexta-Feira;2
02/07/2022;01/07/2022;7;Julho;Jul;2022;22;2;Sábado;2
03/07/2022;01/07/2022;7;Julho;Jul;2022;22;3;Domingo;2
04/07/2022;01/07/2022;7;Julho;Jul;2022;22;4;Segunda-Feira;2
05/07/2022;01/07/2022;7;Julho;Jul;2022;22;5;Terça-Feira;2
06/07/2022;01/07/2022;7;Julho;Jul;2022;22;6;Quarta-Feira;2
07/07/2022;01/07/2022;7;Julho;Jul;2022;22;7;Quinta-Feira;2
08/07/2022;01/07/2022;7;Julho;Jul;2022;22;8;Sexta-Feira;2
09/07/2022;01/07/2022;7;Julho;Jul;2022;22;9;Sábado;2
10/07/2022;01/07/2022;7;Julho;Jul;2022;22;10;Domingo;2
11/07/2022;01/07/2022;7;Julho;Jul;2022;22;11;Segunda-Feira;2
12/07/2022;01/07/2022;7;Julho;Jul;2022;22;12;Terça-Feira;2
13/07/2022;01/07/2022;7;Julho;Jul;2022;22;13;Quarta-Feira;2
14/07/2022;01/07/2022;7;Julho;Jul;2022;22;14;Quinta-Feira;2
15/07/2022;01/07/2022;7;Julho;Jul;2022;22;15;Sexta-Feira;2
16/07/2022;01/07/2022;7;Julho;Jul;2022;22;16;Sábado;2
17/07/2022;01/07/2022;7;Julho;Jul;2022;22;17;Domingo;2
18/07/2022;01/07/2022;7;Julho;Jul;2022;22;18;Segunda-Feira;2
19/07/2022;01/07/2022;7;Julho;Jul;2022;22;19;Terça-Feira;2
20/07/2022;01/07/2022;7;Julho;Jul;2022;22;20;Quarta-Feira;2
21/07/2022;01/07/2022;7;Julho;Jul;2022;22;21;Quinta-Feira;2
22/07/2022;01/07/2022;7;Julho;Jul;2022;22;22;Sexta-Feira;2
23/07/2022;01/07/2022;7;Julho;Jul;2022;22;23;Sábado;2
24/07/2022;01/07/2022;7;Julho;Jul;2022;22;24;Domingo;2
25/07/2022;01/07/2022;7;Julho;Jul;2022;22;25;Segunda-Feira;2
26/07/2022;01/07/2022;7;Julho;Jul;2022;22;26;Terça-Feira;2
27/07/2022;01/07/2022;7;Julho;Jul;2022;22;27;Quarta-Feira;2
28/07/2022;01/07/2022;7;Julho;Jul;2022;22;28;Quinta-Feira;2
29/07/2022;01/07/2022;7;Julho;Jul;2022;22;29;Sexta-Feira;2
30/07/2022;01/07/2022;7;Julho;Jul;2022;22;30;Sábado;2
31/07/2022;01/07/2022;7;Julho;Jul;2022;22;31;Domingo;2
01/07/2023;01/07/2023;7;Julho;Jul;2023;23;1;Sábado;2
02/07/2023;01/07/2023;7;Julho;Jul;2023;23;2;Domingo;2
03/07/2023;01/07/2023;7;Julho;Jul;2023;23;3;Segunda-Feira;2
04/07/2023;01/07/2023;7;Julho;Jul;2023;23;4;Terça-Feira;2
05/07/2023;01/07/2023;7;Julho;Jul;2023;23;5;Quarta-Feira;2
06/07/2023;01/07/2023;7;Julho;Jul;2023;23;6;Quinta-Feira;2
07/07/2023;01/07/2023;7;Julho;Jul;2023;23;7;Sexta-Feira;2
08/07/2023;01/07/2023;7;Julho;Jul;2023;23;8;Sábado;2
09/07/2023;01/07/2023;7;Julho;Jul;2023;23;9;Domingo;2
10/07/2023;01/07/2023;7;Julho;Jul;2023;23;10;Segunda-Feira;2
11/07/2023;01/07/2023;7;Julho;Jul;2023;23;11;Terça-Feira;2
12/07/2023;01/07/2023;7;Julho;Jul;2023;23;12;Quarta-Feira;2
13/07/2023;01/07/2023;7;Julho;Jul;2023;23;13;Quinta-Feira;2
14/07/2023;01/07/2023;7;Julho;Jul;2023;23;14;Sexta-Feira;2
15/07/2023;01/07/2023;7;Julho;Jul;2023;23;15;Sábado;2
16/07/2023;01/07/2023;7;Julho;Jul;2023;23;16;Domingo;2
17/07/2023;01/07/2023;7;Julho;Jul;2023;23;17;Segunda-Feira;2
18/07/2023;01/07/2023;7;Julho;Jul;2023;23;18;Terça-Feira;2
19/07/2023;01/07/2023;7;Julho;Jul;2023;23;19;Quarta-Feira;2
20/07/2023;01/07/2023;7;Julho;Jul;2023;23;20;Quinta-Feira;2
21/07/2023;01/07/2023;7;Julho;Jul;2023;23;21;Sexta-Feira;2
22/07/2023;01/07/2023;7;Julho;Jul;2023;23;22;Sábado;2
23/07/2023;01/07/2023;7;Julho;Jul;2023;23;23;Domingo;2
24/07/2023;01/07/2023;7;Julho;Jul;2023;23;24;Segunda-Feira;2
25/07/2023;01/07/2023;7;Julho;Jul;2023;23;25;Terça-Feira;2
26/07/2023;01/07/2023;7;Julho;Jul;2023;23;26;Quarta-Feira;2
27/07/2023;01/07/2023;7;Julho;Jul;2023;23;27;Quinta-Feira;2
28/07/2023;01/07/2023;7;Julho;Jul;2023;23;28;Sexta-Feira;2
29/07/2023;01/07/2023;7;Julho;Jul;2023;23;29;Sábado;2
30/07/2023;01/07/2023;7;Julho;Jul;2023;23;30;Domingo;2
31/07/2023;01/07/2023;7;Julho;Jul;2023;23;31;Segunda-Feira;2
01/07/2024;01/07/2024;7;Julho;Jul;2024;24;1;Segunda-Feira;2
02/07/2024;01/07/2024;7;Julho;Jul;2024;24;2;Terça-Feira;2
03/07/2024;01/07/2024;7;Julho;Jul;2024;24;3;Quarta-Feira;2
04/07/2024;01/07/2024;7;Julho;Jul;2024;24;4;Quinta-Feira;2
05/07/2024;01/07/2024;7;Julho;Jul;2024;24;5;Sexta-Feira;2
06/07/2024;01/07/2024;7;Julho;Jul;2024;24;6;Sábado;2
07/07/2024;01/07/2024;7;Julho;Jul;2024;24;7;Domingo;2
08/07/2024;01/07/2024;7;Julho;Jul;2024;24;8;Segunda-Feira;2
09/07/2024;01/07/2024;7;Julho;Jul;2024;24;9;Terça-Feira;2
10/07/2024;01/07/2024;7;Julho;Jul;2024;24;10;Quarta-Feira;2
11/07/2024;01/07/2024;7;Julho;Jul;2024;24;11;Quinta-Feira;2
12/07/2024;01/07/2024;7;Julho;Jul;2024;24;12;Sexta-Feira;2
13/07/2024;01/07/2024;7;Julho;Jul;2024;24;13;Sábado;2
14/07/2024;01/07/2024;7;Julho;Jul;2024;24;14;Domingo;2
15/07/2024;01/07/2024;7;Julho;Jul;2024;24;15;Segunda-Feira;2
16/07/2024;01/07/2024;7;Julho;Jul;2024;24;16;Terça-Feira;2
17/07/2024;01/07/2024;7;Julho;Jul;2024;24;17;Quarta-Feira;2
